corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
fog,2,baseline,10000,0.889,0.941,0.8,0.785,0.869,0.74,0.875,0.835,0.937,0.922
fog,2,per_batch,10000,0.893,0.941,0.802,0.782,0.873,0.74,0.878,0.84,0.937,0.924
fog,2,per_image,1000,0.89,0.93,0.76,0.82,0.81,0.67,0.9,0.81,0.94,0.93
fog,3,baseline,10000,0.843,0.906,0.781,0.797,0.836,0.66,0.794,0.744,0.91,0.879
fog,3,per_batch,10000,0.846,0.904,0.78,0.79,0.842,0.661,0.798,0.756,0.913,0.881
fog,3,per_image,1000,0.85,0.95,0.72,0.72,0.81,0.59,0.74,0.67,0.92,0.89
fog,4,baseline,10000,0.774,0.855,0.752,0.835,0.778,0.515,0.658,0.583,0.851,0.787
fog,4,per_batch,10000,0.783,0.864,0.749,0.828,0.795,0.528,0.673,0.598,0.866,0.803
fog,4,per_image,1000,0.75,0.9,0.69,0.85,0.73,0.49,0.77,0.63,0.89,0.76
fog,5,baseline,10000,0.569,0.616,0.653,0.846,0.578,0.341,0.4,0.267,0.586,0.511
fog,5,per_batch,10000,0.601,0.633,0.654,0.841,0.618,0.349,0.421,0.278,0.635,0.556
fog,5,per_image,1000,0.54,0.6,0.73,0.77,0.57,0.35,0.49,0.32,0.63,0.51
brightness,1,baseline,10000,0.923,0.958,0.84,0.764,0.879,0.838,0.946,0.918,0.951,0.94
brightness,1,per_batch,10000,0.922,0.958,0.84,0.762,0.879,0.839,0.946,0.919,0.951,0.94
brightness,1,per_image,1000,0.91,0.99,0.79,0.65,0.89,0.82,0.93,0.92,0.95,0.93
brightness,2,baseline,10000,0.929,0.955,0.83,0.751,0.876,0.831,0.943,0.919,0.948,0.938
brightness,2,per_batch,10000,0.928,0.955,0.83,0.753,0.877,0.832,0.944,0.919,0.948,0.938
brightness,2,per_image,1000,0.97,0.96,0.81,0.67,0.89,0.9,0.95,0.94,0.92,0.9
brightness,3,baseline,10000,0.93,0.953,0.825,0.747,0.878,0.825,0.936,0.917,0.945,0.933
brightness,3,per_batch,10000,0.93,0.953,0.824,0.746,0.88,0.823,0.937,0.918,0.945,0.933
brightness,3,per_image,1000,0.91,0.97,0.8,0.8,0.86,0.85,0.9,0.89,0.93,0.93
brightness,4,baseline,10000,0.932,0.948,0.822,0.748,0.878,0.815,0.923,0.913,0.942,0.927
brightness,4,per_batch,10000,0.93,0.949,0.822,0.749,0.877,0.815,0.923,0.914,0.942,0.926
brightness,4,per_image,1000,0.88,0.95,0.85,0.72,0.93,0.81,0.91,0.88,0.97,0.91
brightness,5,baseline,10000,0.925,0.921,0.796,0.733,0.871,0.743,0.889,0.882,0.935,0.908
brightness,5,per_batch,10000,0.926,0.923,0.795,0.734,0.871,0.744,0.89,0.881,0.934,0.909
brightness,5,per_image,1000,0.91,0.94,0.79,0.73,0.87,0.77,0.85,0.87,0.9,0.91
contrast,1,baseline,10000,0.923,0.957,0.831,0.776,0.893,0.808,0.944,0.91,0.949,0.942
contrast,1,per_batch,10000,0.923,0.957,0.83,0.775,0.894,0.807,0.943,0.91,0.949,0.943
contrast,1,per_image,1000,0.94,0.94,0.84,0.8,0.88,0.86,0.94,0.93,0.95,0.96
contrast,2,baseline,10000,0.918,0.945,0.791,0.798,0.917,0.729,0.923,0.879,0.943,0.93
contrast,2,per_batch,10000,0.917,0.944,0.792,0.795,0.916,0.734,0.927,0.88,0.943,0.929
contrast,2,per_image,1000,0.87,0.96,0.81,0.78,0.89,0.74,0.87,0.9,0.94,0.93
contrast,3,baseline,10000,0.898,0.937,0.765,0.806,0.913,0.664,0.896,0.832,0.938,0.914
contrast,3,per_batch,10000,0.897,0.938,0.764,0.805,0.914,0.668,0.898,0.835,0.938,0.914
contrast,3,per_image,1000,0.88,0.94,0.75,0.75,0.92,0.66,0.91,0.75,0.96,0.85
contrast,4,baseline,10000,0.881,0.913,0.706,0.824,0.908,0.552,0.832,0.725,0.925,0.877
contrast,4,per_batch,10000,0.882,0.912,0.706,0.824,0.912,0.558,0.838,0.722,0.928,0.88
contrast,4,per_image,1000,0.88,0.94,0.72,0.76,0.93,0.52,0.86,0.75,0.89,0.82
contrast,5,baseline,10000,0.729,0.638,0.551,0.78,0.818,0.249,0.518,0.269,0.797,0.57
contrast,5,per_batch,10000,0.72,0.659,0.527,0.784,0.85,0.262,0.546,0.283,0.814,0.594
contrast,5,per_image,1000,0.71,0.63,0.52,0.75,0.84,0.29,0.55,0.22,0.86,0.54
elastic_transform,1,baseline,10000,0.902,0.94,0.849,0.783,0.862,0.776,0.892,0.886,0.931,0.9
elastic_transform,1,per_batch,10000,0.904,0.941,0.849,0.781,0.865,0.777,0.896,0.889,0.93,0.9
elastic_transform,1,per_image,1000,0.9,0.96,0.82,0.87,0.89,0.82,0.89,0.86,0.95,0.85
elastic_transform,2,baseline,10000,0.897,0.939,0.849,0.794,0.863,0.763,0.89,0.887,0.937,0.911
elastic_transform,2,per_batch,10000,0.9,0.938,0.849,0.791,0.865,0.767,0.895,0.888,0.937,0.915
elastic_transform,2,per_image,1000,0.92,0.97,0.85,0.77,0.88,0.74,0.9,0.95,0.94,0.91
elastic_transform,3,baseline,10000,0.899,0.922,0.846,0.793,0.852,0.765,0.855,0.873,0.932,0.901
elastic_transform,3,per_batch,10000,0.898,0.923,0.845,0.789,0.856,0.766,0.86,0.875,0.933,0.903
elastic_transform,3,per_image,1000,0.92,0.92,0.8,0.82,0.82,0.81,0.84,0.93,0.94,0.91
elastic_transform,4,baseline,10000,0.882,0.892,0.812,0.795,0.855,0.734,0.836,0.831,0.893,0.85
elastic_transform,4,per_batch,10000,0.883,0.894,0.815,0.792,0.858,0.733,0.843,0.835,0.895,0.848
elastic_transform,4,per_image,1000,0.86,0.88,0.8,0.73,0.88,0.74,0.84,0.79,0.92,0.85
elastic_transform,5,baseline,10000,0.88,0.814,0.746,0.763,0.848,0.72,0.865,0.798,0.846,0.818
elastic_transform,5,per_batch,10000,0.885,0.817,0.743,0.757,0.854,0.725,0.868,0.803,0.848,0.825
elastic_transform,5,per_image,1000,0.89,0.85,0.79,0.79,0.87,0.72,0.9,0.76,0.86,0.85
pixelate,1,baseline,10000,0.913,0.957,0.839,0.759,0.876,0.818,0.946,0.924,0.949,0.94
pixelate,1,per_batch,10000,0.913,0.956,0.839,0.76,0.876,0.818,0.947,0.924,0.949,0.94
pixelate,1,per_image,1000,0.87,0.97,0.76,0.71,0.91,0.8,0.96,0.9,0.96,0.97
pixelate,2,baseline,10000,0.915,0.954,0.826,0.755,0.881,0.812,0.944,0.911,0.95,0.943
pixelate,2,per_batch,10000,0.914,0.954,0.826,0.756,0.881,0.812,0.943,0.911,0.951,0.943
pixelate,2,per_image,1000,0.93,0.93,0.84,0.71,0.89,0.77,0.95,0.91,0.95,0.91
pixelate,3,baseline,10000,0.893,0.918,0.794,0.752,0.886,0.715,0.914,0.899,0.957,0.951
pixelate,3,per_batch,10000,0.89,0.919,0.795,0.752,0.889,0.717,0.914,0.9,0.956,0.951
pixelate,3,per_image,1000,0.89,0.91,0.85,0.73,0.88,0.78,0.89,0.88,0.97,0.95
pixelate,4,baseline,10000,0.815,0.82,0.677,0.587,0.849,0.324,0.834,0.802,0.959,0.967
pixelate,4,per_batch,10000,0.821,0.83,0.692,0.609,0.86,0.374,0.85,0.812,0.959,0.965
pixelate,4,per_image,1000,0.8,0.8,0.68,0.65,0.91,0.38,0.82,0.78,0.96,0.98
pixelate,5,baseline,10000,0.78,0.701,0.593,0.625,0.846,0.436,0.709,0.783,0.928,0.977
pixelate,5,per_batch,10000,0.787,0.725,0.594,0.643,0.864,0.477,0.748,0.79,0.929,0.973
pixelate,5,per_image,1000,0.8,0.68,0.66,0.58,0.85,0.46,0.81,0.8,0.92,0.98
jpeg_compression,1,baseline,10000,0.877,0.918,0.802,0.719,0.877,0.732,0.963,0.842,0.943,0.932
