corruption,severity,ttt_mode,n_samples,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9
brightness,3,per_batch,10000,0.93,0.953,0.825,0.748,0.88,0.823,0.936,0.917,0.945,0.933
brightness,3,per_image,1000,0.92,0.97,0.86,0.72,0.86,0.87,0.96,0.95,0.97,0.95
brightness,4,baseline,10000,0.931,0.948,0.822,0.748,0.877,0.814,0.923,0.913,0.942,0.927
brightness,4,per_batch,10000,0.93,0.948,0.822,0.748,0.877,0.814,0.923,0.914,0.942,0.927
brightness,4,per_image,1000,0.91,0.95,0.85,0.78,0.9,0.76,0.93,0.9,0.96,0.97
brightness,5,baseline,10000,0.926,0.922,0.795,0.735,0.871,0.744,0.889,0.881,0.935,0.907
brightness,5,per_batch,10000,0.926,0.922,0.796,0.735,0.871,0.745,0.889,0.881,0.935,0.907
brightness,5,per_image,1000,0.9,0.88,0.74,0.72,0.88,0.7,0.84,0.89,0.97,0.91
contrast,1,baseline,10000,0.922,0.957,0.83,0.777,0.892,0.807,0.943,0.911,0.949,0.943
contrast,1,per_batch,10000,0.922,0.957,0.83,0.777,0.893,0.807,0.943,0.911,0.949,0.943
contrast,1,per_image,1000,0.92,0.96,0.81,0.78,0.9,0.87,0.98,0.95,0.91,0.91
contrast,2,baseline,10000,0.917,0.945,0.792,0.796,0.917,0.73,0.926,0.88,0.943,0.929
contrast,2,per_batch,10000,0.917,0.945,0.792,0.796,0.916,0.73,0.926,0.88,0.944,0.929
contrast,2,per_image,1000,0.91,0.91,0.87,0.78,0.95,0.74,0.93,0.86,0.92,0.91
contrast,3,baseline,10000,0.898,0.936,0.765,0.806,0.911,0.666,0.895,0.833,0.938,0.914
contrast,3,per_batch,10000,0.898,0.937,0.765,0.806,0.912,0.666,0.895,0.833,0.938,0.914
contrast,3,per_image,1000,0.89,0.95,0.71,0.81,0.93,0.74,0.89,0.85,0.95,0.92
contrast,4,baseline,10000,0.881,0.913,0.706,0.824,0.908,0.551,0.832,0.726,0.926,0.877
contrast,4,per_batch,10000,0.881,0.913,0.705,0.824,0.909,0.551,0.833,0.725,0.926,0.877
contrast,4,per_image,1000,0.92,0.9,0.73,0.84,0.94,0.54,0.74,0.78,0.9,0.88
contrast,5,baseline,10000,0.73,0.636,0.551,0.778,0.82,0.251,0.518,0.268,0.797,0.567
contrast,5,per_batch,10000,0.729,0.636,0.552,0.779,0.827,0.254,0.518,0.268,0.801,0.568
contrast,5,per_image,1000,0.71,0.61,0.46,0.74,0.84,0.31,0.47,0.26,0.82,0.59
elastic_transform,1,baseline,10000,0.902,0.941,0.849,0.783,0.862,0.774,0.892,0.886,0.931,0.9
elastic_transform,1,per_batch,10000,0.902,0.941,0.848,0.783,0.862,0.774,0.892,0.886,0.931,0.9
elastic_transform,1,per_image,1000,0.85,0.91,0.87,0.77,0.85,0.75,0.89,0.88,0.97,0.9
elastic_transform,2,baseline,10000,0.897,0.939,0.849,0.794,0.863,0.763,0.89,0.887,0.937,0.911
elastic_transform,2,per_batch,10000,0.897,0.939,0.848,0.794,0.864,0.763,0.89,0.887,0.937,0.912
elastic_transform,2,per_image,1000,0.86,0.97,0.84,0.85,0.85,0.74,0.88,0.86,0.95,0.9
elastic_transform,3,baseline,10000,0.898,0.922,0.847,0.793,0.852,0.764,0.855,0.872,0.932,0.902
elastic_transform,3,per_batch,10000,0.898,0.922,0.847,0.793,0.851,0.764,0.856,0.872,0.932,0.902
elastic_transform,3,per_image,1000,0.9,0.92,0.82,0.83,0.8,0.78,0.89,0.89,0.98,0.86
elastic_transform,4,baseline,10000,0.882,0.89,0.819,0.795,0.851,0.732,0.828,0.83,0.888,0.845
elastic_transform,4,per_batch,10000,0.882,0.891,0.815,0.795,0.852,0.731,0.83,0.83,0.89,0.846
elastic_transform,4,per_image,1000,0.85,0.91,0.81,0.83,0.85,0.76,0.84,0.87,0.93,0.82
elastic_transform,5,baseline,10000,0.881,0.814,0.746,0.762,0.848,0.72,0.865,0.798,0.846,0.817
elastic_transform,5,per_batch,10000,0.88,0.814,0.746,0.762,0.851,0.72,0.865,0.798,0.846,0.818
elastic_transform,5,per_image,1000,0.89,0.83,0.69,0.73,0.84,0.72,0.88,0.81,0.79,0.78
pixelate,1,baseline,10000,0.913,0.956,0.839,0.759,0.876,0.819,0.947,0.924,0.949,0.94
pixelate,1,per_batch,10000,0.913,0.956,0.839,0.76,0.876,0.818,0.947,0.924,0.949,0.94
pixelate,1,per_image,1000,0.94,0.94,0.9,0.81,0.9,0.86,0.95,0.95,0.98,0.93
pixelate,2,baseline,10000,0.915,0.954,0.826,0.754,0.881,0.813,0.943,0.91,0.951,0.943
pixelate,2,per_batch,10000,0.915,0.954,0.826,0.754,0.881,0.812,0.943,0.91,0.951,0.943
pixelate,2,per_image,1000,0.91,0.95,0.76,0.76,0.89,0.83,0.94,0.92,0.96,0.96
pixelate,3,baseline,10000,0.891,0.918,0.792,0.751,0.888,0.714,0.913,0.9,0.957,0.953
pixelate,3,per_batch,10000,0.891,0.918,0.792,0.751,0.888,0.714,0.913,0.9,0.957,0.952
pixelate,3,per_image,1000,0.88,0.9,0.8,0.74,0.91,0.67,0.91,0.94,0.94,0.95
pixelate,4,baseline,10000,0.815,0.82,0.677,0.587,0.849,0.324,0.834,0.802,0.959,0.966
pixelate,4,per_batch,10000,0.815,0.822,0.677,0.591,0.85,0.332,0.835,0.803,0.96,0.966
pixelate,4,per_image,1000,0.81,0.83,0.73,0.59,0.85,0.37,0.87,0.76,0.96,0.99
pixelate,5,baseline,10000,0.781,0.703,0.593,0.626,0.847,0.436,0.711,0.786,0.928,0.977
pixelate,5,per_batch,10000,0.781,0.703,0.592,0.625,0.849,0.443,0.714,0.786,0.928,0.977
pixelate,5,per_image,1000,0.72,0.73,0.61,0.61,0.93,0.44,0.81,0.8,0.96,0.99
jpeg_compression,1,baseline,10000,0.877,0.918,0.804,0.719,0.877,0.732,0.962,0.845,0.943,0.932
jpeg_compression,1,per_batch,10000,0.877,0.918,0.804,0.718,0.877,0.732,0.962,0.845,0.943,0.932
jpeg_compression,1,per_image,1000,0.87,0.94,0.78,0.74,0.86,0.69,0.94,0.8,0.97,0.93
jpeg_compression,2,baseline,10000,0.842,0.883,0.761,0.719,0.825,0.689,0.921,0.801,0.924,0.917
jpeg_compression,2,per_batch,10000,0.842,0.883,0.761,0.718,0.825,0.689,0.922,0.8,0.923,0.917
jpeg_compression,2,per_image,1000,0.86,0.88,0.75,0.76,0.82,0.8,0.9,0.76,0.95,0.93
jpeg_compression,3,baseline,10000,0.837,0.864,0.746,0.727,0.804,0.659,0.902,0.781,0.919,0.905
jpeg_compression,3,per_batch,10000,0.837,0.862,0.746,0.727,0.804,0.66,0.903,0.781,0.919,0.905
jpeg_compression,3,per_image,1000,0.82,0.84,0.75,0.71,0.76,0.71,0.87,0.78,0.93,0.9
jpeg_compression,4,baseline,10000,0.816,0.856,0.743,0.744,0.786,0.641,0.874,0.762,0.905,0.888
jpeg_compression,4,per_batch,10000,0.816,0.856,0.742,0.743,0.787,0.64,0.875,0.762,0.905,0.888
jpeg_compression,4,per_image,1000,0.85,0.83,0.71,0.82,0.77,0.62,0.87,0.83,0.88,0.85
jpeg_compression,5,baseline,10000,0.804,0.822,0.736,0.742,0.726,0.599,0.832,0.716,0.892,0.848
jpeg_compression,5,per_batch,10000,0.804,0.822,0.735,0.742,0.728,0.598,0.833,0.718,0.892,0.848
jpeg_compression,5,per_image,1000,0.8,0.81,0.72,0.79,0.74,0.64,0.82,0.7,0.97,0.85
